keyword,date,hits
bankrupt,2005-01-03,41.66666666666667
bankrupt,2005-01-04,29.069767441860467
bankrupt,2005-01-05,0
bankrupt,2005-01-06,25.510204081632654
bankrupt,2005-01-07,29.761904761904763
bankrupt,2005-01-08,0
bankrupt,2005-01-09,0
bankrupt,2005-01-10,32.05128205128205
bankrupt,2005-01-11,29.761904761904763
bankrupt,2005-01-12,32.89473684210526
bankrupt,2005-01-13,32.05128205128205
bankrupt,2005-01-14,36.764705882352935
bankrupt,2005-01-15,0
bankrupt,2005-01-16,0
bankrupt,2005-01-17,46.29629629629629
bankrupt,2005-01-18,41.66666666666667
bankrupt,2005-01-19,25
bankrupt,2005-01-20,28.40909090909091
bankrupt,2005-01-21,20.161290322580644
bankrupt,2005-01-22,0
bankrupt,2005-01-23,0
bankrupt,2005-01-24,37.878787878787875
bankrupt,2005-01-25,50
bankrupt,2005-01-26,50
bankrupt,2005-01-27,52.08333333333333
bankrupt,2005-01-28,34.72222222222222
bankrupt,2005-01-29,0
bankrupt,2005-01-30,46.29629629629629
bankrupt,2005-01-31,0
bankrupt,2005-02-01,59.523809523809526
bankrupt,2005-02-02,59.523809523809526
bankrupt,2005-02-03,52.08333333333333
bankrupt,2005-02-04,0
bankrupt,2005-02-05,0
bankrupt,2005-02-06,0
bankrupt,2005-02-07,0
bankrupt,2005-02-08,50
bankrupt,2005-02-09,44.64285714285714
bankrupt,2005-02-10,48.07692307692308
bankrupt,2005-02-11,0
bankrupt,2005-02-12,0
bankrupt,2005-02-13,0
bankrupt,2005-02-14,0
bankrupt,2005-02-15,0
bankrupt,2005-02-16,50
bankrupt,2005-02-17,50
bankrupt,2005-02-18,46.29629629629629
bankrupt,2005-02-19,36.764705882352935
bankrupt,2005-02-20,0
bankrupt,2005-02-21,39.0625
bankrupt,2005-02-22,54.34782608695651
bankrupt,2005-02-23,36.764705882352935
bankrupt,2005-02-24,23.58490566037736
bankrupt,2005-02-25,0
bankrupt,2005-02-26,0
bankrupt,2005-02-27,0
bankrupt,2005-02-28,13.736263736263735
bankrupt,2005-03-01,0
bankrupt,2005-03-02,43.103448275862064
bankrupt,2005-03-03,0
bankrupt,2005-03-04,41.66666666666667
bankrupt,2005-03-05,30.48780487804878
bankrupt,2005-03-06,39.0625
bankrupt,2005-03-07,36.764705882352935
bankrupt,2005-03-08,0
bankrupt,2005-03-09,36.764705882352935
bankrupt,2005-03-10,0
bankrupt,2005-03-11,36.764705882352935
bankrupt,2005-03-12,35.714285714285715
bankrupt,2005-03-13,0
bankrupt,2005-03-14,41.66666666666667
bankrupt,2005-03-15,46.29629629629629
bankrupt,2005-03-16,37.878787878787875
bankrupt,2005-03-17,35.714285714285715
bankrupt,2005-03-18,0
bankrupt,2005-03-19,0
bankrupt,2005-03-20,0
bankrupt,2005-03-21,39.0625
bankrupt,2005-03-22,0
bankrupt,2005-03-23,25.510204081632654
bankrupt,2005-03-24,34.72222222222222
bankrupt,2005-03-25,0
bankrupt,2005-03-26,0
bankrupt,2005-03-27,35.714285714285715
bankrupt,2005-03-28,31.25
bankrupt,2005-03-29,44.64285714285714
bankrupt,2005-03-30,35.714285714285715
bankrupt,2005-03-31,0
bankrupt,2005-04-01,0
bankrupt,2005-04-02,33.78378378378378
bankrupt,2005-04-03,0
bankrupt,2005-04-04,0
bankrupt,2005-04-06,0
bankrupt,2005-04-07,33.78378378378378
bankrupt,2005-04-08,0
bankrupt,2005-04-09,0
bankrupt,2005-04-10,0
bankrupt,2005-04-11,36.764705882352935
bankrupt,2005-04-12,0
bankrupt,2005-04-13,52.08333333333333
bankrupt,2005-04-14,48.07692307692308
bankrupt,2005-04-15,52.08333333333333
bankrupt,2005-04-16,0
bankrupt,2005-04-17,0
bankrupt,2005-04-18,46.29629629629629
bankrupt,2005-04-19,46.29629629629629
bankrupt,2005-04-20,0
bankrupt,2005-04-21,34.72222222222222
bankrupt,2005-04-22,25.510204081632654
bankrupt,2005-04-23,0
bankrupt,2005-04-24,0
bankrupt,2005-04-25,33.78378378378378
bankrupt,2005-04-26,41.66666666666667
bankrupt,2005-04-27,40.32258064516129
bankrupt,2005-04-28,33.78378378378378
bankrupt,2005-04-29,0
bankrupt,2005-04-30,32.89473684210526
bankrupt,2005-05-01,0
bankrupt,2005-05-02,44.64285714285714
bankrupt,2005-05-03,50
bankrupt,2005-05-04,0
bankrupt,2005-05-05,40.32258064516129
bankrupt,2005-05-06,40.32258064516129
bankrupt,2005-05-07,0
bankrupt,2005-05-08,0
bankrupt,2005-05-09,37.878787878787875
bankrupt,2005-05-10,44.64285714285714
bankrupt,2005-05-11,39.0625
bankrupt,2005-05-12,37.878787878787875
bankrupt,2005-05-13,0
bankrupt,2005-05-14,0
bankrupt,2005-05-15,0
bankrupt,2005-05-16,41.66666666666667
bankrupt,2005-05-17,46.29629629629629
bankrupt,2005-05-18,0
bankrupt,2005-05-19,33.78378378378378
bankrupt,2005-05-20,0
bankrupt,2005-05-21,0
bankrupt,2005-05-22,0
bankrupt,2005-05-23,0
bankrupt,2005-05-24,37.878787878787875
bankrupt,2005-05-25,0
bankrupt,2005-05-26,0
bankrupt,2005-05-27,0
bankrupt,2005-05-28,0
bankrupt,2005-05-29,0
bankrupt,2005-05-30,0
bankrupt,2005-05-31,0
bankrupt,2005-06-01,0
bankrupt,2005-06-02,0
bankrupt,2005-06-03,0
bankrupt,2005-06-04,0
bankrupt,2005-06-05,0
bankrupt,2005-06-06,0
bankrupt,2005-06-07,40.32258064516129
bankrupt,2005-06-08,29.761904761904763
bankrupt,2005-06-09,0
bankrupt,2005-06-10,0
bankrupt,2005-06-11,0
bankrupt,2005-06-12,0
bankrupt,2005-06-13,36.764705882352935
bankrupt,2005-06-14,0
bankrupt,2005-06-15,34.72222222222222
bankrupt,2005-06-16,41.66666666666667
bankrupt,2005-06-17,40.32258064516129
bankrupt,2005-06-18,0
bankrupt,2005-06-19,0
bankrupt,2005-06-20,46.29629629629629
bankrupt,2005-06-21,48.07692307692308
bankrupt,2005-06-22,0
bankrupt,2005-06-23,48.07692307692308
bankrupt,2005-06-24,46.29629629629629
bankrupt,2005-06-25,0
bankrupt,2005-06-26,0
bankrupt,2005-06-27,37.878787878787875
bankrupt,2005-06-28,37.878787878787875
bankrupt,2005-06-29,35.714285714285715
bankrupt,2005-06-30,0
bankrupt,2005-07-01,0
bankrupt,2005-07-02,0
bankrupt,2005-07-03,0
bankrupt,2005-07-04,0
bankrupt,2005-07-05,34.72222222222222
bankrupt,2005-07-06,30.48780487804878
bankrupt,2005-07-07,0
bankrupt,2005-07-08,17.605633802816904
bankrupt,2005-07-09,0
bankrupt,2005-07-10,0
bankrupt,2005-07-11,31.25
bankrupt,2005-07-12,0
bankrupt,2005-07-13,29.761904761904763
bankrupt,2005-07-14,0
bankrupt,2005-07-15,28.40909090909091
bankrupt,2005-07-16,0
bankrupt,2005-07-17,0
bankrupt,2005-07-18,28.40909090909091
bankrupt,2005-07-19,37.878787878787875
bankrupt,2005-07-20,0
bankrupt,2005-07-21,0
bankrupt,2005-07-22,0
bankrupt,2005-07-23,0
bankrupt,2005-07-24,0
bankrupt,2005-07-25,0
bankrupt,2005-07-26,0
bankrupt,2005-07-27,0
bankrupt,2005-07-28,0
bankrupt,2005-07-29,0
bankrupt,2005-07-30,0
bankrupt,2005-07-31,0
bankrupt,2005-08-01,54.34782608695651
bankrupt,2005-08-02,56.81818181818182
bankrupt,2005-08-03,50
bankrupt,2005-08-04,0
bankrupt,2005-08-05,39.0625
bankrupt,2005-08-06,0
bankrupt,2005-08-07,44.64285714285714
bankrupt,2005-08-08,43.103448275862064
bankrupt,2005-08-09,43.103448275862064
bankrupt,2005-08-10,50
bankrupt,2005-08-11,44.64285714285714
bankrupt,2005-08-12,39.0625
bankrupt,2005-08-13,0
bankrupt,2005-08-14,0
